fein	filing_date	stmt_of_purpose
822100402	2018-06-08	TO IDENTIFY AND HELP CHILDREN OF SUBSTANCE ABUSING AND ADDICTED PARENTS AND PROVIDE EDUCATION AND SUPPORT FOR THE CHILDREN AND THEIR PARENTS BY WORKING WITH COMMUNITY ORGANIZATIONS THAT SUPPORT THE UNMET HEALTH AND METAL HEALTH NEEDS OF THESE CHILDREN.  WE HAVE HELP OVER 200 CHILDREN WITH VARIOUS NEEDS AND SERVICES SPORATICALLY AND NOT ALWAYS MEASUREABLE.
841602077	2018-07-18	PURPOSE:THE PURPOSE OF ITP IS TO PROVIDE TRAINING TO INDIVIDUALS WHO ARE MEMBERS OF NON-PROFIT RELIGIOUS ORGANIZATIONS, IN AREAS OF INTERPERSONAL RELATIONSHIPS, RELATIONSHIP WITH GOD, STRESS MANAGEMENT, LEADERSHIP AND ADULT LEARNING PRINCIPLES.    ITP WORKSHOPS:  1. SHARPENING YOUR INTERPERSONAL SKILLS WORKSHOPS (SYIS)  THESE ARE NORMALLY FOUR AND ONE-HALF DAY PROGRAMS. THEY HAVE BEEN DEVELOPED OVER A PERIOD OF NEARLY THIRTY YEARS BY KEN WILLIAMS, PH.D., WITH WYCLIFFE BIBLE TRANSLATORS.  OVER FOUR HUNDRED FACILITATORS SERVING AROUND THE WORLD FROM MANY DIFFERENT ORGANIZATIONS HAVE BEEN TRAINED TO PROVIDE THE SYIS WORKSHOP. SYIS WORKSHOPS ARE DESIGNED TO ENHANCE MISSIONARY EFFECTIVENESS BY PROVIDING TRAINING IN KEY AREAS OF KNOWLEDGE, GODLY ATTITUDES AND THE SKILLS NEEDED FOR DEVELOPING AND MAINTAINING HEALTHY RELATIONSHIPS. TRAINING IS VERY INTERACTIVE, UTILIZING THE MOST EFFECTIVE METHODS OF ADULT LEARNING. LEARNING ACTIVITIES INCLUDE SOME LECTURE, SMALL GROUP TASKS, WHOLE GROUP INTERACTION, DEMONSTRATIONS OF SKILLS, PRACTICING SKILLS AND PRAYERFUL REFLECTION.  THE WORKSHOP CONTENT IS BASED ON SCRIPTURE. A 220 PAGE NOTEBOOK INCLUDES ARTICLES, BIBLE STUDIES, SELF-ASSESSMENTS, AND OPPORTUNITIES FOR GROWTH FOR EACH TOPIC.   2. FACILITATORS' TRAINING WORKSHOPS FOR MISSIONARIES (FTW)  THESE WORKSHOPS PROVIDE THE TRAINING NEEDED TO FACILITATE SYIS WORKSHOPS. THEY FOCUS ON THE CONTENT AND PROCESS OF THE SYIS WORKSHOP. INTENSE, HANDS-ON EXPERIENTIAL TRAINING PREPARES PARTICIPANTS IN ADULT LEARNING PRINCIPLES AS WELL AS IN FACILITATING THE WORKSHOPS. POTENTIAL FACILITATORS ARE CAREFULLY SCREENED AND SELECTED.
900453235	2018-08-16	FOOD AND CLOTHING TO THOSE IN NEED
271059850	2018-08-21	THE EXEMPT PURPOSE OF JOVIAL CONCEPTS IS TO AID THE WORLD IN A SUSTAINABLE AND NON-VIOLENT FUTURE. WE CREATE HANDS ON COMMUNITY SERVICE LEARNING PROJECTS, WE WORK WITH SCHOOLS TO HELP AT-RISK AND LOW-INCOME YOUTH DISCOVER THEIR POTENTIAL AND THE POSITIVE IMPACT THEY CAN HAVE ON THEIR COMMUNITY, PROMOTE LOCAL AND GLOBAL SUSTAINABILITY BY EDUCATING HOMEOWNERS AND THEIR FAMILY ABOUT CURRENT ISSUES, CREATING COMMUNITY, TEACHING BEST GARDEN PRACTICES, AND PROVIDING PRODUCE TO FOOD INSECURE FAMILIES. WE SUPPORT OTHER TAX-EXEMPT ORGANIZATIONS WHICH PROMOTE SUCH CONCEPTS AND WE HOST YEARLY PEACE EVENTS WHICH DISCUSS HOW ANYONE CAN BE INVOLVED IN THE PEACE PROCESS.
841543484	2017-09-26	SAMARITAN AVIATION'S EXEMPT PURPOSE LIES WITHIN OUR MISSION TO PROVIDE MISSION AND MEDICAL SERVICES TO REMOTE VILLAGES IN PAPUA NEW GUINEA BY OPERATING THE ONLY FLOATPLANE IN-COUNTRY. IN THE WESTERN UNITED STATES WE CONDUCT MERCY FLIGHTS FOR INDIVIDUALS WHO ARE TOO ILL TO TRAVEL BY COMMERCIAL AIRLINES OR CAR. APPROXIMATELY 2,000 PEOPLE AND OR PATIENTS ARE SERVED ANNUALLY THROUGH SAMARITAN AVIATION BY WAY OF MERCY FLIGHT, CLINIC OUTREACH, AND THE DISTRIBTUTION OF MEDICAL SUPPLIES AND PHARMACEUTICALS. OVER THE PAST TEN YEARS SAMARITAN AVIATION HAS BEEN PRIVILEGED TO TOUCH THE LIVES OF THOUSANDS OF INDIVIDUALS WHO DESPERATELY NEEDED SOMEONE TO STOP AND CARE.  THROUGH THE GENEROSITY OF OUR SUPPORTERS WE HAVE PROVIDED MILLIONS OF DOLLARS IN MEDICAL AID AND HAVE SHARED CHRIST S LOVE THROUGH ACTION IN SOME OF THE MOST REMOTE PARTS OF THE WORLD.
471005752	2018-04-13	GRACE AND PEACE BIBLICAL COUNSELING IS A CHRISTIAN RELIGIOUS ORGANIZATION THAT PROVIDES COUNSELING SERVICES BASED SOLELY ON BIBLICAL, SPIRITUAL PRINCIPLES. BIBLICAL COUNSELORS ARE TRAINED IN THE USE OF SCRIPTURE AND THE PRINCIPLES OF BIBLICAL COUNSELING. WE MINISTER TO A WIDE RANGE OF PROBLEMS INCLUDING WOUNDED MARRIAGES, FAMILY RELATIONSHIPS, ANGER, FEAR, GRIEF, DEPRESSION, ANXIETY, AND OTHER PROBLEMS RESULTING IN MENTAL ANGUISH. GRACE AND PEACE CAN BE YOURS IN ABUNDANCE THROUGH THE KNOWLEDGE OF GOD AND JESUS OUR LORD (2 PETER 1:2).     WE RECEIVE REFERRALS FROM CHURCHES AND MINISTRIES ACROSS THE WESTERN PART OF COLORADO. WE CURRENTLY SERVE OVER 100 FAMILIES OR INDIVIDUALS PER YEAR. OUR MINISTRY RUNS ON A DONATION BASIS.
680572605	2018-04-13	SUSTAINABLE SCHOOLS INTERNATIONAL SUPPORTS AND INVESTS IN SUSTAINABLE EDUCATION FOR ECONOMIC DEVELOPMENT IN RURAL CAMBODIA.     OUR GOAL IS THAT 90% OF ALL CHILDREN IN AURAL DISTRICT WILL COMPLETE 9TH GRADE AND ACQUIRE AN INCOME GENERATING SKILL. OUR OBJECTIVE TO ACHIEVE THIS GOAL IS TO HELP LOCAL COMMUNITIES GENERATE BOTH THE HUMAN AND FINANCIAL RESOURCES TO SUPPORT AND SUSTAIN GOOD SCHOOLS FOR THEIR CHILDREN. SSI CURRENTLY SUPPORTS 7 VILLAGE SCHOOLS, 2500 STUDENTS, 500 FAMILIES, 18 TEACHERS, PLUS SCHOLARSHIP HIGH SCHOOL, VOCATIONAL AND COLLEGE STUDENTS AT THE LEADERSHIP ACADEMY IN PHNOM PENH.     OUR RURAL MICRO-LENDING PROJECT HAS GROWN FROM $3K TO ALMOST $25K, WITH OVER 100 LOAN CUSTOMERS. INTEREST REVENUE GENERATED IS USED TO SUPPORT LOCAL SCHOOLS.     SSI CONTINUES TO REFINE AND GROW ITS MODEL SO THAT IT CAN BE REPLICATED IN OTHER PARTS OF THE COUNTRY.
846035941	2018-05-16	HORSEBACK MIRACLES (HBM)GUIDED BY THE DRAPER EQUINE-ASSISTED SENSORY-BASED THERAPY METHODOLOGY PROGRAM TREATING YOUTH WITH MENTAL ILLNESS AND / OR NEUROLOGICAL DISORDERS.  HBM COMPLETED OVER 800 INDIVIDUALIZED SESSIONS DURING 2017 PARTICIPANTS ARE PROVIDED TO US BY COLLABORATING AGENCIES, INCLUDINGT THOSE CURRENTLY INVOLVED IN THE JUVENILE JUSTICE SYSTEM.
272255601	2018-07-18	TO PRESENT CULTURAL ACTIVITIES AND ENHANCE COMMUNITY APPRECIATION AND UNDERSTANDING OF CULTURAL OFFERINGS IN THE EL PASO COUNTY, COLORADO AREA.
521573446	2018-02-22	ONLY 1% OF COLLEGE STUDENTS ARE AMERICAN INDIAN. THE AMERICAN INDIAN COLLEGE FUND (COLLEGE FUND) HAS  SERVED OVER 100,000 STUDENTS AND WITH THE FINANCIAL SUPPORT FROM INDIVIDUALS, CORPORATIONS, AND  FOUNDATIONS IS WORKING TO SUPPORT 100,000 MORE.  THE COLLEGE FUND SUPPORTS AMERICAN INDIAN STUDENTS WITH SCHOLARSHIPS, INTERNSHIPS, AND TRAINING IN  CAREER&#8208;READINESS AND LEADERSHIP.  EDUCATION IS THE ANSWER AND THE MISSION OF THE AMERICAN INDIAN COLLEGE FUND.
260803494	2017-12-01	THE EARLY CHILDHOOD COUNCIL AIMS TO CREATE A SEAMLESS AND COLLABORATIVE SYSTEM OF QUALITY EARLY CHILDHOOD SERVICES WHERE FAMILIES ARE VALUED AND CHILDREN ARE HEALTHY AND THRIVING BY INCREASING PUBLIC AWARENESS OF ISSUES AND NEEDS CREATING A PUBLIC WILL FOR HIGH QUALITY EARLY CHILDHOOD OPPORTUNITIES.
840410630	2018-04-03	ON OCT. 1, 2007, GIRL SCOUTS OF COLORADO BECAME THE NEW FACE FOR LOCAL GIRL SCOUTING. THE FIVE PREVIOUS COLORADO COUNCILS   MILE HI (DENVER), WAGON WHEEL (COLORADO SPRINGS), COLUMBINE (PUEBLO), MOUNTAIN PRAIRIE (FT. COLLINS), CHIPETA (GRAND JUNCTION)   AND THE EIGHT COLORADO COUNTIES PREVIOUSLY SERVED BY COUNCILS IN OTHER STATES   ARCHULETA, DOLORES, JACKSON, LA PLATA, LAS ANIMAS, MONTEZUMA, PROWERS AND SAN JUAN   CAME TOGETHER TO FORM THIS NEW COUNCIL THROUGH A REALIGNMENT PROCESS.    OVER THE LAST TWO YEARS, GIRL SCOUT COUNCILS NATIONWIDE HAVE BEEN ENGAGED IN A PLAN TO REVITALIZE THE ORGANIZATION, LED BY THIS TRANSFORMATION. NATIONWIDE, 310 COUNCILS WILL REALIGN INTO 109 HIGH-PERFORMANCE, COMMUNITY-BASED COUNCILS. THE REALIGNMENT PROCESS IN COLORADO IS EXPECTED TO TAKE 12 TO 18 MONTHS TO COMPLETE AFTER OCT. 1.    WITH GIRL SCOUTS OF COLORADO, OUR COMMUNITIES CAN LOOK FORWARD TO EXPANDED OPPORTUNITIES FOR GIRLS, ENHANCED SERVICES FOR ADULT VOLUNTEERS, CONTINUED OUTREACH TO UNDERSERVED POPULATIONS AND VIBRANT PARTNERSHIPS WITH THE GREATER COMMUNITY TO MEET OUR COMMITMENT TO GIRLS.
841453650	2018-05-03	OCSCRC DBA VOYAGER YOUTH PROGRAM SUPPORTS YOUTH AND FAMILIES OF OURAY COUNTY CO THROUGH EDUCATIONAL, RECREATIONAL AND EXPERIENTIAL ACTIVITIES.  OUR GOAL IS TO ASSIST YOUTH SO THEY DEVELOP INTO CRITICALLY THINKING, WELL BALANCED, HEALTHY INDIVIDUALS.  MISSION: VOYAGER YOUTH PROGRAM SEEKS TO INSPIRE THE YOUTH OF OURAY COUNTY TO ACHIEVE HEALTHY LIVES THROUGH PREVENTION EDUCATION AND EXPERIENTIAL ACTIVITIES WITH A PURPOSE, IN PARTNERSHIP WITH SCHOOLS AND COMMUNITY.
452780572	2018-02-22	"THE ORGANIZATION'S EXEMPT PURPOSE IS TO PROVIDE INFORMATION TO ALL CITIZENS OF HUERFANO COUNTY, COLORADO, ABOUT THE ENVIRONMENTAL IMPACTS OF DEEP DRILLING AND FRACTURING OF SHALE OF OIL AND NATURAL GAS. THE ORGANIZATION DOES NOT ENGAGE IN ANY LOBBYING. THE NUMBER OF CLIENTS SERVED IS THE ENTIRE POPULATION OF HUERFANO COUNTY, COLORADO. PUBLICATIONS BY THE ORGANIZATION INCLUDE ""IS DEEPER SAFER? -AN ANALYSIS OF METHANE RECOVERY THROUGH FRACTIONING AT DEPTHS OF 14,000 FEET BELOW SURFACE LEVEL;"" ""COAL BED METHANE VS DEEP SHALE OIL AND GAS--IS DEEPER SAFER?"" ""SHELL FRACKING IN HUERFANO COUNTY: AN INFORMATION AND ACTION GUIDE:""  ""THE SEVEN SAFEGUARDS -- PROPOSALS FOR SAFEFRACKING OF SHALE BOUND METHANE."" ACHIEVMENTS THAT ARE NOT MEASURABLE INCLUDE PARTICIPATION IN MEDIATION CONCENING DEEP ZONE FRACTIONING OF SHALL TO RELEASE METHANE."
841280846	2018-04-11	TEAM COLORADO OF THE ROCKIES IS AN UMBRELLA ORGANIZATION FOR GAY AND LESBIAN SPORTS GROUPS, THAT CREATES A SAFE AND SUPPORTIVE ENVIRONMENT FOR THE COMMUNITY.
475021487	2018-05-11	THE CORPORATION IS ORGANIZED EXCLUSIVELY FOR CHARITABLE, RELIGIOUS, EDUCATIONAL, AND SCIENTIFIC PURPOSES, INCLUDING, FOR SUCH PURPOSES, THE RECEIPT OF CONTRIBUTIONS AND THE MAKING OF DISTRIBUTIONS TO ORGANIZATIONS THAT QUALIFY AS EXEMPT ORGANIZATIONS UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE OF 1986.
846111907	2018-05-25	THE PTA RAISES MONEY TO PROVIDE PROGRAMS FOR THE STUDENTS OF GREEN GABLES ELEMENTARY SCHOOL.  THERE ARE AROUND 300 STUDENTS AT THE SCHOOL.  WE PUBLISH A MONTHLY NEWSLETTER TO THE FAMILIES REPORTING SCHOOL ACTIVITIES AND IMPORTANT INFORMATION.  WE PROVIDE EDUCATIONAL ENRICHMENT OPPORTUNITIES FOR THE STUDENTS THAT WOULD OTHERWISE BE MISSED.
840816047	2018-08-10	THE MISSION OF PIKES PEAK HOSPICE AND PALLIATIVE CARE IS TO PROVIDE COMPASSIONATE AND EXPERT END-OF-LIFE CARE TO PATIENTS AND THEIR FAMILIES, PARTNER WITH THOSE WHO SHARE OUR VISION, AND LEAD CHANGE IN THE COMMUNITY TO ENSURE COMFORT FOR ALL WHO FACE SERIOUS ILLNESS.
460657829	2018-04-11	PROVIDING RESOURCES TO CREATE POSITIVE CHANGE FOR GIRLS, WOMEN, AND THEIR FAMILIES WHO HAVE BEEN VICTIMS OF RAPE, PROSTITUTION, AND TRAFFICKING, AND THOSE AT RISK OF BEING VICTIMS.
841027205	2018-04-20	THE PURPOSE OF THE BETHANY LUTHERAN CHURCH FOUNDATION IS TO ENHANCE THE MINISTRY OF BETHANY LUTHERAN CHURCH.  THE PRIMARY EXPENSES ARE FOR UNDERGRADUATE AND SEMINARY SCHOLARSHIPS, SPONSORING AN ANNUAL LECTURE SERIES, AND SUPPORTING LOCAL, GLOBAL AND SYNODICAL MINISTRIES THAT SEEM LIKELY TO ENRICH THE SPIRITUAL LIFE OF BETHANY CONGREGATION.  THE EXPENSES ARE OVER AND ABOVE THE ANNUAL ORDINARY BUDGET OF THE CONGREGATION.
261358750	2018-06-19	THE BOULDER INTERNATIONAL FRINGE FESTIVAL PROVIDES AN EDUCATIONAL SERVICE TO THE COMMUNITY THAT FOSTERS CREATIVITY AND BUILDS BRIDGES BETWEEN ORGANIZATIONS AND INDIVIDUALS OF ALL ARTISTIC DISCIPLINES. THE FRINGE FESTIVAL CHALLENGES AUDIENCES TO DISCOVER NEW RISK-TAKING ART THAT ATTRACTS NEW NON-TRADITIONAL AUDIENCES, UNLIKE ANY OTHER ORGANIZATION. THE FRINGE ATTRACTS PEOPLE WHO MAY NOT HAVE BEEN ENGAGED IN ART BEFORE SUCH AS YOUTH AND SENIORS. IN DOING THIS, THE FRINGE FESTIVAL ENCOURAGES THE ECONOMIC GROWTH AND THE SOCIAL WELL BEING OF THE CITY AND IS A MAJOR CONTRIBUTOR TO THE CULTURAL LIFE OF BOULDER, COLORADO. THE BOULDER INTERNATIONAL FRINGE FESTIVAL EDUCATES THE COMMUNITY THROUGH FREE WORKSHOPS AND EDUCATIONAL RESOURCES ON ADMINISTRATION, MARKETING, FUNDRAISING, AND SHOW PRODUCTION. ON AVERAGE, THE FRINGE FESTIVAL ENTERTAINS AND EDUCATES 5,000 AUDIENCE MEMBERS EACH YEAR AND SERVES 70 ARTISTS OF ALL DEMOGRAPHICS.
841571405	2018-08-16	TO PROVIDE SHORT-TERM TRANSITION HOUSING, DEBRIEFING, AND OTHER RESOURCES TO THE OVERSEAS STAFF OF CHRISTIAN MISSION ORGANIZATIONS IN COLORADO. WE SERVE MORE THAN A DOZEN OF THESE ORGANIZATIONS.
813264086	2018-08-28	RED FEATHER LAKES FIRE PROTECTION DISTRICT SUPPORTERS IS A NON-PROFIT CORPORATION AND SHALL BE OPERATED (1) FOR THE PURPOSE OF RECEIVING CHARITABLE DONATIONS FOR THE RED FEATHER LAKES FIRE PROTECTION DISTRICT WHICH OPERATES THE RED FEATHER LAKES VOLUNTEER FIRE DEPARTMENT, AND (2) FOR THE PURPOSE OF PROVIDING VOLUNTEER SERVICES TO BOTH THE FIRE DEPARTMENT AND THE FIRE PROTECTION DISTRICT.
272768961	2018-01-25	SAID CORPORATION IS ORGANIZED AND SHALL BE OPERATED EXCLUSIVELY FOR CHARITABLE, EDUCATION, AND SCIENTIFIC PURPOSES, INCLUDING, FOR SUCH PURPOSES, THE MAKING OF DISTRIBUTIONS TO ORGANIZATIONS THAT QUALIFY AS EXEMPT ORGANIZATIONS UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE OF 1954 (OR THE CORRESPONDING PROVISION OF ANY FUTURE UNITED STATES INTERNAL REVENUE LAW).
841518069	2017-01-26	CEH IS A NOT-FOR-PROFIT ORGANIZATION WHICH WILL PROVIDE AN AGE IN PLACE MODEL OF HOUSING WITH NON-MEDICAL  SUPPORTIVE SERVICES TO ALLOW THE RESIDENTS TO MAINTAIN  A LEVEL OF INDEPENDENCE IN THEIR APARTMENTS WHILE LIVING A VIBRANT AND ACTIVE LIFE.
205153032	2018-05-24	OPERATED EXCLUSIVELY FOR CHARITABLE, EDUCATIONAL, AND RELIGOUS PURPOSES, RENDERING CHRISTIAN CHARITABLE & HUMANITARIAN SERVICES TO IMPOVERISHED, UNDERPRIVILEGED, DISADVANTAGED, SICK, AGED, HOMELESS OR OTHERWISE NEEDY PERSONS IN ASIA AND THROUGHOUT THE WORLD. PROVIDING VOCATIONAL TRAINING & EDUCATION, MEDICAL CARE AND OTHER COMMUNITY DEVELOPMENT SERVICES ACCORDING TO CHRISTIAN ETHICS AND PRINCIPLES AS STATED ABOVE. UNDERTAKING, ACCORDING TO CHRISTIAN ETHICS AND PRINCIPLES, ANY OTHER CHARITABLE AND HUMANITARIAN PROJECTS DESIGNED TO IMPROVE THE QUALITY OF LIFE FOR THE UNDERPRIVILEGED, IMPOVERISHED, DISADVANTAGED, SICK, AGED, HOMELESS OR OTHERWISE NEEDY PERSONS AND SUPPORTING OTHER ORGANIZATIONS, PROJECTS AND INITIATIVES THAT ARE ORGANIZED AND OPERATED FOR SIMILAR PURPOSES
840699245	2017-11-22	WE ARE AN EMPLOYEE ORGANIZATION FOR THE DENVER POLICE DEPARTMENT THAT PROVIDES EDUCATION REIMBURSEMENT TO MEMBERS; WE ALSO PROVIDE EMERGENCY FUNDS IN CRISIS SITUATIONS (FINANCIAL HARDSHIP DUE TO ILLNESS OR INJURY). WE PROVIDE A WORKOUT FACILITY FOR VOLUNTEER COACHES (SOME OFFICERS) TO HELP WITH TEACHING YOUTH EXERCISE PROGRAMS (BOXING, WEIGHTLIFTING, MIXED MARTIAL ARTS ETC...) THIS PROVIDE THEM A PLACE TO GO AFTER SCHOOL.     WE ALSO PROVIDE SEVERAL SCHOLARSHIPS TO YOUTH GOING INTO COLLEGE WHO HAVE BEEN PARTICIPATING IN OUR BOXING PROGRAM.    WE ALSO HAVE A POLICE BOXING TEAM THAT PUTS ON CHARITY BOXING EVENTS AND TRAVELS TO MASSACHUSETTS AND OTHER STATES TO RAISE MONIES FOR VARIOUS CHARITIES LIKE THE BOYS AND GIRLS CLUB AND FALLEN OFFICER RELIEF FUNDS, ETC.. WE HAVE RAISED A LOT OF MONIES FOR CHARITIES BY PARTICIPATING IN THESE CHARITIES BOXING EVENTS OVER THE YEARS. ONE OF THE MAIN CLUBS WE COLLABORATE WITH IS ON THESE CHARITY EVENTS IS MASS STATE POLICE BOLING TEAM. WE MAKE REGULAR DONATIONS TO OTHER CHARITIES PROGRAMS.   THE DENVER POLICE BROTHERHOOD HAS ABOUT 540 MEMBERS.
542165702	2017-08-23	AFRICA AGENDA PROMOTES POSITIVE AFRICAN NEWS  OUR MISSION  AFRICA AGENDA S MISSION IS TO FOSTER UNDERSTANDING AND ENGAGEMENT WITH AFRICA AND AFRICAN SOCIETY IN A FAIR AND UNBIASED WAY.  VISION  AFRICA AGENDA ENVISIONS A WORLD IN WHICH THE VIBRANT CONTRIBUTIONS OF AFRICA AND AFRICAN SOCIETY MAKE A BETTER LIFE FOR EVERYONE.  GOALS  AFRICA AGENDA SEEKS TO:  1. (MEDIA) IDENTIFY, TRACK AND DISSEMINATE UNREPORTED AFRICAN NEWS.  2. (EDUCATION) CREATE PROGRAMS THAT PROVIDE THE OPPORTUNITY FOR EDUCATIONAL EXCHANGE BETWEEN AFRICAN AND AMERICAN COMMUNITIES IN AN EFFORT TO FACILITATE VALUABLE DISCOURSE ON DEMOCRACY, CULTURE, BUSINESS AND ECONOMICS.    SOME OF OUR SIGNIFICANT ACCOMPLISHMENTS INCLUDE THE FOLLOWING:     HELD OVER 100 AFRICA WORKSHOPS AND EVENTS   1. MORE THAN 5,000 PARTICIPANTS IN THESE EVENTS  2. OUR SPEAKERS HAVE INCLUDED TOP OPINION, CIVIL SOCIETY & BUSINESS LEADERS FROM MORE THAN A DOZEN COUNTRIES  BUILT COLORADO/AFRICA NETWORKS   3. OVER 100 MEMBERS AND 200+ AFFILIATED MEMBERS IN 15 COUNTRIES  4. RELATIONSHIPS WITH A HOST OF HIGH SCHOOLS, COLLEGES & UNIVERSITIES AROUND THE DENVER METRO AREA.  FOSTERED MORE BALANCED NEWS STORIES AND REPORTING IN THE COLORADO MEDIA MARKET ABOUT AFRICA AND THE AFRICAN COMMUNITY IN COLORADO.   5. MEDIA COVERAGE IN DENVER POST, AURORA SENTINEL, GREELEY TRIBUNE, AURORA 8, AURORA 54, METRO AFRICAN, DENVER URBAN SPECTRUM, ETC  6. INCREASED RELATIONSHIPS WITH A POOL OF LOCAL JOURNALISTS & PR PROFESSIONALS AROUND THE WORLD  7. EACH YEAR WE RECEIVE MORE THAN 500 PHONE CALLS AND HUNDREDS OF EMAILS REQUESTING AFRICA RELATED INFORMATION AND ADVICE  AFRICA AGENDA HAS ALSO SPEARHEADED INITIATIVES TO EXPAND DEMOCRACY AND DEVELOPMENT. FOR EXAMPLE, WE CONCEIVED AND LAUNCHED A SIGNATURE FREEDOM AND INFORMATION ACT PROJECT, CAMEROON INFORMATION AND EDUCATION DAY(CIED) IN 2009. TO DATE, THE CIED HAS PRINTED AND DISTRIBUTED THOUSANDS OF FREE-POCKET-SIZE COPIES OF THE REVISED CAMEROON CONSTITUTION. THE BOOKLETS INCLUDE THE HARD-TO-FIND APRIL 2008 CO
462225878	2018-04-24	PRODUCTION OF VIDEO CONTENT TO ADVANCE THE CAUSE OF CHRISTIANITY.  NUMBER SERVED IS MOSTLY INDETERMINABLE WITH ONLINE PRESENCE.  PRESENTLY HAVE PRODUCED 3 SHORT VIDEO FOR PUBLIC USE.  HOPE TO ADVANCE THE MESSAGE OF CHRIST'S UNRELENTING LOVE AND GRACE.
742442032	2018-07-18	BOULDER COUNTY AIDS PROJECT (BCAP) IS A NON-PROFIT, COMMUNITY-BASED HIV & AIDS SERVICE ORGANIZATION WITH A MISSION TO PROVIDE SUPPORT, ADVOCACY AND EDUCATION TO THOSE IN OUR COMMUNITY WHO ARE LIVING WITH OR AFFECTED BY HIV & AIDS AND TO SERVE AS AN OUTREACH AND INFORMATION CENTER TO PREVENT FURTHER TRANSMISSION OF THE DISEASE. THE ORGANIZATIONAL GOALS ARE TO 1) PROVIDE DIRECT HIV CARE AND HIV PREVENTION SERVICES TO THE COMMUNITIES OF BOULDER, BROOMFIELD, GILPIN AND CLEAR CREEK COUNTIES; 2) HELP PERSONS LIVING WITH HIV ACHIEVE SUCCESSFUL HEALTH OUTCOMES AND GAIN STABILITY IN MANAGING THEIR DISEASE; 3) PROVIDE FREE HIV TESTING AND RISK REDUCTION COUNSELING TO THOSE AT-RISK OF ACQUIRING HIV IN OUR COMMUNITY.
263917210	2018-08-17	PROVIDE JOURNEY AND VISIONARY LEADERSHIP WORK TO PROMOTE EMOTIONAL, BEHAVIORAL AND PHYSICAL WELLNESS, ALONG WITH SELF ESTEEM AND EMPOWERMENT TO POPULATIONS THAT CAN BENEFIT GREATLY AND WOULD NOT OTHERWISE HAVE ACCESS TO THE WORK, INCLUDING BUT NOT LIMITED TO SHELTERS, PRISONS, DISASTER RELIEF, ORPHANAGES, HOSPITALS, SCHOOLS, ABUSED PERSONS, SUICIDE PREVENTION, SUBSTANCE ABUSE, PESTILENCE, MINORITY AND DISADVANTAGED POPULATIONS. SERVICES ARE DELIVERED IN THE FOLLOWING WAYS: (1) COMMUNITY WORKSHOPS AND SCHOLARSHIPS ALLOWING INDIVIDUALS AND COMMUNITIES IN NEED TO EXPERIENCE AND LEARN JOURNEY SKILLS; (2) COMMUNITY OUTREACH PROGRAMS OFFERING GROUP SERVICES FROM JOURNEY PRACTITIONERS AND VISIONARY LEADERSHIP COACHES TO  HELP COMMUNITIES IN NEED; (3) OTHER HEALTH-RELATED COMMUNITY SERVICES AND NEEDS THAT PROMOTE THE ACCOMPLISHMENT OF THE JOURNEY OUTREACH MISSION;  (4) RESEARCH, INFORMATION, AND EDUCATION FOR THE GENERAL PUBLIC TO UNDERSTAND THE POWER OF JOURNEYWORK IN PROVIDING HELP TO THEMSELVES AND OTHERS.  SEE FILED IRS FORM 990EZ FOR A SUMMARY OF PROGRAMS IN THE US, CANADA, KENYA, AND MEXICO.
271943050	2018-08-17	THE ORGANIZATION'S MISSION IS TO CONTRIBUTE TO THE RESCUE & HEALING OF CHILDREN IN PATTAYA, THAILAND AT THE CHILD PROTECTION AND  DEVELOPMENT CENTER IN PATTAYA
464577538	2017-11-17	PAGOSA VALOR ACADEMY EXISTS FOR EDUCATIONAL PURPOSES. THE PURPOSE IS FOR PRIMARY EDUCATION SERVING 50-85 CLIENTS.
371534706	2018-07-18	THE PURPOSE OF ALTECO INCLUDES, BUT IS NOT LIMITED TO, THE EVANGELISM, TEACHING, TRAINING AND EMPOWERING OF THE TRIBAL PEOPLE OF THE AMAZON AND AROUND THE WORLD.
840611954	2018-04-25	THE LONGMONT SYMPHONY ORCHESTRA WAS FOUNDED IN 1966 AS THE LONGMONT SYMPHONY SOCIETY, INC.  ITS MISSION IS TO FOSTER AND PROMOTE THE APPRECIATION AND UNDERSTANDING OF SYMPHONIC MUSIC THROUGH PERFORMANCES AND EDUCATIONAL PROGRAMS.  EACH YEAR, THE ORCHESTRA PERFORMS OVER 10 CONCERTS, WHICH ARE ENJOYED BY MORE THAN 15,000 PEOPLE.  ALTHOUGH THE LONGMONT SYMPHONY ORCHESTRA PRIMARILY SERVICES CITIZENS OF THE CITY OF LONGMONT, ITS SPHERE OF INFLUENCE INCLUDES THE ENTIRE ST. VRAIN VALLEY, INCLUDING OTHER COMMUNITIES IN BOULDER, WELD, LARIMER, AND ADAMS COUNTIES.
